p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
8.84384618524951e-14	0.311274257607467	0.415	0.338	1.02756648826414e-09	1	LOC107436525
1.37111458463916e-13	0.400545371975535	0.341	0.273	1.59309803589224e-09	1	LOC107441084
1.58096525413637e-13	0.254768291405624	0.528	0.453	1.83692352878105e-09	1	LOC107440339
1.97072638542558e-13	0.317231307700116	0.454	0.383	2.28978698722598e-09	1	LOC107456160
2.97400008189536e-13	0.342224837985401	0.421	0.351	3.45549069515422e-09	1	LOC107440180
1.53551130314196e-12	0.380385826324147	0.311	0.246	1.78411058312064e-08	1	LOC107439419
1.72698568640555e-12	0.356669828094231	0.349	0.282	2.0065846690346e-08	1	LOC107456149
3.03918106601334e-12	0.382177402291689	0.293	0.23	3.5312244806009e-08	1	LOC107455338
3.73450797460864e-12	0.270581399061535	0.463	0.39	4.33912481569778e-08	1	LOC107446074
4.65121817937553e-12	0.317384944652426	0.434	0.369	5.40425040261642e-08	1	LOC107451678
6.0645205202137e-12	0.407983064555125	0.297	0.236	7.0463663924363e-08	1	LOC107449044
6.36168126869064e-12	0.324635211824775	0.369	0.301	7.39163746609165e-08	1	LOC107453040
8.50580195431008e-11	0.271548552680803	0.443	0.375	9.88289129071288e-07	1	LOC107454645
2.54090180724871e-10	0.269702510797443	0.495	0.435	2.95227380984228e-06	1	LOC107441566
0	4.67574058086578	0.74	0.048	0	2	LOC107452006
0	2.64138237517264	0.632	0.104	0	2	LOC107447905
0	1.68447815492606	0.789	0.274	0	2	LOC107450669
0	4.06410957488594	0.515	0.039	0	2	LOC107447504
0	2.51270549693825	0.528	0.101	0	2	LOC107448451
0	3.43710450104184	0.466	0.051	0	2	LOC107451065
0	2.37565014229408	0.498	0.121	0	2	LOC110282747
0	4.59798094534274	0.381	0.022	0	2	LOC107443967
0	2.02971565229456	0.486	0.128	0	2	LOC107451809
0	4.08726553310625	0.38	0.026	0	2	LOC107457039
0	3.13841812125184	0.332	0.038	0	2	LOC107447242
0	3.29310854880257	0.35	0.056	0	2	LOC107450672
0	4.64766900771296	0.299	0.017	0	2	LOC107442497
0	2.58405925177779	0.331	0.054	0	2	LOC107453612
0	4.14021370896072	0.278	0.024	0	2	LOC107457034
0	3.96354518925251	0.259	0.018	0	2	LOC107438776
5.34608672738979e-319	2.40406776177635	0.453	0.123	6.2116181685542e-315	2	LOC107452266
6.09634049936455e-315	1.81675285591615	0.469	0.119	7.08333802621167e-311	2	LOC107447500
1.74664420915926e-313	2.93645686285121	0.299	0.053	2.02942590662215e-309	2	LOC107453020
3.40188616149609e-296	1.68915612711843	0.639	0.248	3.95265153104231e-292	2	LOC107436212
5.99746439156293e-246	1.31488728985421	0.555	0.188	6.96845387655697e-242	2	LOC107447505
8.97336766462785e-219	2.41108306145151	0.25	0.051	1.04261558895311e-214	2	LOC107446208
1.72022577766602e-197	1.89613551897238	0.373	0.117	1.99873033107014e-193	2	LOC107450578
1.17227471887652e-182	1.68933644845258	0.426	0.154	1.36206599586263e-178	2	LOC107443472
2.77937653995552e-148	1.0848069023635	0.71	0.424	3.22935760177432e-144	2	LOC107439303
2.36587891587018e-147	1.77328988139679	0.311	0.102	2.74891471234956e-143	2	LOC107454763
2.70150171342826e-141	1.05292796546776	0.681	0.405	3.13887484083229e-137	2	LOC107437002
1.56795267830854e-118	1.53666046551955	0.327	0.125	1.82180421692669e-114	2	LOC107443591
1.69184364800211e-105	1.00357812243182	0.56	0.313	1.96575313461365e-101	2	LOC107456521
